,lon,lat,alt
2019-08-05 11:59:20,-123.0043620000,48.5490030000,0
2019-08-05 11:59:21,-123.0043400000,48.5490600000,0
2019-08-05 11:59:22,-123.0043200000,48.5491170000,0
2019-08-05 11:59:23,-123.0043030000,48.5491730000,0
2019-08-05 11:59:24,-123.0042850000,48.5492330000,0
2019-08-05 11:59:25,-123.0042670000,48.5492920000,0
2019-08-05 11:59:26,-123.0042480000,48.5493470000,0
2019-08-05 11:59:27,-123.0042320000,48.5494020000,0
2019-08-05 11:59:28,-123.0042130000,48.5494570000,0
2019-08-05 11:59:29,-123.0041970000,48.5495130000,0
2019-08-05 11:59:30,-123.0041800000,48.5495700000,0
2019-08-05 11:59:31,-123.0041670000,48.5496270000,0
2019-08-05 11:59:32,-123.0041520000,48.5496830000,0
2019-08-05 11:59:33,-123.0041380000,48.5497400000,0
2019-08-05 11:59:34,-123.0041270000,48.5497950000,0
2019-08-05 11:59:35,-123.0041150000,48.5498520000,0
2019-08-05 11:59:36,-123.0041030000,48.5499070000,0
2019-08-05 11:59:37,-123.0040930000,48.5499620000,0
2019-08-05 11:59:38,-123.0040830000,48.5500120000,0
2019-08-05 11:59:39,-123.0040750000,48.5500600000,0
2019-08-05 11:59:40,-123.0040680000,48.5501070000,0
2019-08-05 11:59:41,-123.0040630000,48.5501520000,0
2019-08-05 11:59:42,-123.0040600000,48.5501970000,0
2019-08-05 11:59:43,-123.0040570000,48.5502430000,0
2019-08-05 11:59:44,-123.0040500000,48.5502920000,0
2019-08-05 11:59:45,-123.0040400000,48.5503420000,0
2019-08-05 11:59:46,-123.0040320000,48.5503970000,0
2019-08-05 11:59:47,-123.0040250000,48.5504530000,0
2019-08-05 11:59:48,-123.0040220000,48.5505120000,0
2019-08-05 11:59:49,-123.0040200000,48.5505730000,0
2019-08-05 11:59:50,-123.0040180000,48.5506370000,0
2019-08-05 11:59:51,-123.0040180000,48.5507030000,0
2019-08-05 11:59:52,-123.0040170000,48.5507720000,0
2019-08-05 11:59:53,-123.0040170000,48.5508420000,0
2019-08-05 11:59:54,-123.0040150000,48.5509130000,0
2019-08-05 11:59:55,-123.0040170000,48.5509850000,0
2019-08-05 11:59:56,-123.0040180000,48.5510570000,0
2019-08-05 11:59:57,-123.0040220000,48.5511300000,0
2019-08-05 11:59:58,-123.0040270000,48.5512020000,0
2019-08-05 11:59:59,-123.0040330000,48.5512750000,0
2019-08-05 12:00:00,-123.0040450000,48.5513470000,0
2019-08-05 12:00:01,-123.0040580000,48.5514200000,0
2019-08-05 12:00:02,-123.0040720000,48.5514920000,0
2019-08-05 12:00:03,-123.0040880000,48.5515630000,0
2019-08-05 12:00:04,-123.0041070000,48.5516330000,0
2019-08-05 12:00:05,-123.0041250000,48.5517030000,0
2019-08-05 12:00:06,-123.0041480000,48.5517720000,0
2019-08-05 12:00:07,-123.0041720000,48.5518420000,0
2019-08-05 12:00:08,-123.0041950000,48.5519120000,0
2019-08-05 12:00:09,-123.0042180000,48.5519820000,0
2019-08-05 12:00:10,-123.0042420000,48.5520520000,0
2019-08-05 12:00:11,-123.0042680000,48.5521230000,0
2019-08-05 12:00:12,-123.0042980000,48.5521930000,0
2019-08-05 12:00:13,-123.0043320000,48.5522630000,0
2019-08-05 12:00:14,-123.0043670000,48.5523320000,0
2019-08-05 12:00:15,-123.0044030000,48.5524000000,0
2019-08-05 12:00:16,-123.0044380000,48.5524670000,0
2019-08-05 12:00:17,-123.0044750000,48.5525330000,0
2019-08-05 12:00:18,-123.0045100000,48.5525980000,0
2019-08-05 12:00:19,-123.0045450000,48.5526650000,0
2019-08-05 12:00:20,-123.0045800000,48.5527280000,0
2019-08-05 12:00:21,-123.0046130000,48.5527930000,0
2019-08-05 12:00:22,-123.0046470000,48.5528570000,0
2019-08-05 12:00:23,-123.0046820000,48.5529200000,0
2019-08-05 12:00:24,-123.0047150000,48.5529820000,0
2019-08-05 12:00:25,-123.0047470000,48.5530450000,0
2019-08-05 12:00:26,-123.0047780000,48.5531070000,0
2019-08-05 12:00:27,-123.0048080000,48.5531700000,0
2019-08-05 12:00:28,-123.0048400000,48.5532300000,0
2019-08-05 12:00:29,-123.0048700000,48.5532920000,0
2019-08-05 12:00:30,-123.0048980000,48.5533530000,0
2019-08-05 12:00:31,-123.0049280000,48.5534170000,0
2019-08-05 12:00:32,-123.0049550000,48.5534800000,0
2019-08-05 12:00:33,-123.0049850000,48.5535450000,0
2019-08-05 12:00:34,-123.0050150000,48.5536100000,0
2019-08-05 12:00:35,-123.0050480000,48.5536750000,0
2019-08-05 12:00:36,-123.0050820000,48.5537420000,0
2019-08-05 12:00:37,-123.0051170000,48.5538070000,0
